type,geometry/type,longitude,latitude,properties/id,properties/title,properties/description,properties/face,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y,distance_miles
Feature,Point,27.6895,46.2298,21590547,ANL,,East,12,12,0,0,6,6,0.599854249558529
Feature,Point,27.6736,46.2201,21590684,D4,,East,12,12,0,0,6,6,0.705530045755531
Feature,Point,27.6733,46.2206,21590724,D3,,East,12,12,0,0,6,6,0.717101639791422
Feature,Point,27.6743,46.2253,21590560,E7,,East,12,12,0,0,6,6,0.726878250242493
Feature,Point,27.6732,46.2198,21590686,D2,,East,12,12,0,0,6,6,0.726942449587572
Feature,Point,27.6734,46.2184,21590682,D1,,East,12,12,0,0,6,6,0.736413010269664
Feature,Point,27.6728,46.2212,21590561,D5,,East,12,12,0,0,6,6,0.739961642068899
Feature,Point,27.673,46.2183,21590683,C2,,East,12,12,0,0,6,6,0.756675929171825
Feature,Point,27.6724,46.2204,21590687,C5,,East,12,12,0,0,6,6,0.760899123604402
Feature,Point,27.6723,46.2217,21590559,E6,,East,12,12,0,0,6,6,0.764767271592988
Feature,Point,27.6732,46.2174,21590629,B2,,East,12,12,0,0,6,6,0.766248524856146
Feature,Point,27.6723,46.2198,21590685,C4,,East,12,12,0,0,6,6,0.769628355450211
Feature,Point,27.6734,46.2167,21590628,B1,,East,12,12,0,0,6,6,0.775191400387641
Feature,Point,27.6721,46.222,21590548,E6,,East,12,12,0,0,6,6,0.775590592356886
Feature,Point,27.6724,46.2185,21590642,C1,,East,12,12,0,0,6,6,0.781032625835906
Feature,Point,27.6725,46.218,21590641,G1,,East,12,12,0,0,6,6,0.785286897382462
Feature,Point,27.6737,46.2159,21590638,CFR2,,East,12,12,0,0,6,6,0.786038728479165
Feature,Point,27.672,46.2193,21590723,C3,,East,12,12,0,0,6,6,0.788756737616574
Feature,Point,27.6726,46.2175,21590715,D4,,East,12,12,0,0,6,6,0.791057443771101
Feature,Point,27.6728,46.2168,21590714,D3,,East,12,12,0,0,6,6,0.79896204849077
Feature,Point,27.672,46.2185,21590722,G7,,East,12,12,0,0,6,6,0.799631490868322
Feature,Point,27.673,46.2163,21590712,A1,,East,12,12,0,0,6,6,0.803925249977224
Feature,Point,27.6715,46.222,21590549,E8,,East,12,12,0,0,6,6,0.804197004152035
Feature,Point,27.6721,46.2179,21590718,C3,,East,12,12,0,0,6,6,0.80557916397899
Feature,Point,27.6723,46.2172,21590716,C4,,East,12,12,0,0,6,6,0.811416040874524
Feature,Point,27.6728,46.2161,21590637,AIV,,East,12,12,0,0,6,6,0.818431568225114
Feature,Point,27.6723,46.2258,21590656,C1-2,,East,12,12,0,0,6,6,0.82838742952231
Feature,Point,27.6718,46.2174,21590720,C2,,East,12,12,0,0,6,6,0.829526285854729
Feature,Point,27.6714,46.2182,21590721,G8,,East,12,12,0,0,6,6,0.832426005936658
Feature,Point,27.6722,46.2261,21590808,B1-3,,East,12,12,0,0,6,6,0.840993554728326
Feature,Point,27.6717,46.217,21590719,15G,,East,12,12,0,0,6,6,0.84308924349729
Feature,Point,27.6722,46.2161,21590717,C1,,East,12,12,0,0,6,6,0.844456711752871
Feature,Point,27.6709,46.2186,21590713,G6,,East,12,12,0,0,6,6,0.849431749160803
Feature,Point,27.6716,46.2257,21590574,D1-8,,East,12,12,0,0,6,6,0.856787266530625
Feature,Point,27.6711,46.2247,21590749,2,,East,12,12,0,0,6,6,0.856857536281004
Feature,Point,27.6716,46.2166,21590841,B2,,East,12,12,0,0,6,6,0.857355668623264
Feature,Point,27.6712,46.2172,21590843,G3,,East,12,12,0,0,6,6,0.861107867147415
Feature,Point,27.6708,46.2178,21590640,G2,,East,12,12,0,0,6,6,0.867250327946983
Feature,Point,27.6705,46.2185,21590639,G5,,East,12,12,0,0,6,6,0.86957985987133
Feature,Point,27.671,46.2252,21590748,1,,East,12,12,0,0,6,6,0.871876328231655
Feature,Point,27.672,46.2271,21590809,X3,,East,12,12,0,0,6,6,0.879769337291006
Feature,Point,27.671,46.2256,21590731,D1-8,,East,12,12,0,0,6,6,0.881112015691796
Feature,Point,27.6711,46.2165,21590845,A5,,East,12,12,0,0,6,6,0.882130575320439
Feature,Point,27.6711,46.226,21590807,D9-10,,East,12,12,0,0,6,6,0.886680332791394
Feature,Point,27.6712,46.2161,21590844,B1,,East,12,12,0,0,6,6,0.88819618707184
Feature,Point,27.6745,46.2298,21590865,Q2,,East,12,12,0,0,6,6,0.888937678161756
Feature,Point,27.6719,46.2274,21590646,H1-2,,East,12,12,0,0,6,6,0.893811738909507
Feature,Point,27.6741,46.2296,21590887,1,,East,12,12,0,0,6,6,0.894122874788423
Feature,Point,27.67,46.2184,21590551,G4,,East,12,12,0,0,6,6,0.894406756802602
Feature,Point,27.6724,46.2281,21590643,1,,East,12,12,0,0,6,6,0.897822305283331
Feature,Point,27.6715,46.2271,21590806,C3,,East,12,12,0,0,6,6,0.900979964805162
Feature,Point,27.6701,46.2249,21590750,3,,East,12,12,0,0,6,6,0.906617327746344
Feature,Point,27.6705,46.226,21590752,D1-8,,East,12,12,0,0,6,6,0.91330889834494
Feature,Point,27.6706,46.2161,21590846,A3,,East,12,12,0,0,6,6,0.914635421910134
Feature,Point,27.6718,46.2279,21590645,G1-5,,East,12,12,0,0,6,6,0.915089361482851
Feature,Point,27.6711,46.2153,21590630,C1,,East,12,12,0,0,6,6,0.915664829327976
Feature,Point,27.6721,46.2283,21590644,A2,,East,12,12,0,0,6,6,0.917335350348441
Feature,Point,27.6708,46.2156,21590633,P3,,East,12,12,0,0,6,6,0.919698552834481
Feature,Point,27.6706,46.2159,21590842,D2,,East,12,12,0,0,6,6,0.920008193266868
Feature,Point,27.6714,46.2276,21590564,XI,,East,12,12,0,0,6,6,0.921414268000117
Feature,Point,27.6708,46.2154,21590634,P4,,East,12,12,0,0,6,6,0.925557877960861
Feature,Point,27.6701,46.2165,21590555,A4,,East,12,12,0,0,6,6,0.926805090415776
Feature,Point,27.6716,46.2282,21590647,2,,East,12,12,0,0,6,6,0.933957471675184
Feature,Point,27.6697,46.2254,21590746,S1-2,,East,12,12,0,0,6,6,0.935199517534666
Feature,Point,27.67,46.226,21590747,G1-2,,East,12,12,0,0,6,6,0.935592150681843
Feature,Point,27.6713,46.2279,21590563,X,,East,12,12,0,0,6,6,0.935743471748724
Feature,Point,27.6738,46.2303,21590855,C1,,East,12,12,0,0,6,6,0.936936154272216
Feature,Point,27.6702,46.2264,21590751,12,,East,12,12,0,0,6,6,0.936995725038719
Feature,Point,27.6734,46.23,21590862,G1,,East,12,12,0,0,6,6,0.937513462792077
Feature,Point,27.6703,46.2268,21590745,MBA,,East,12,12,0,0,6,6,0.943660045627349
Feature,Point,27.6689,46.2185,21590663,L1,,East,12,12,0,0,6,6,0.944483100208017
Feature,Point,27.6694,46.2171,21590554,B1,,East,12,12,0,0,6,6,0.945128577801875
Feature,Point,27.6739,46.2306,21590867,G2,,East,12,12,0,0,6,6,0.947557775747859
Feature,Point,27.6685,46.2196,21590558,O2,,East,12,12,0,0,6,6,0.951664642057123
Feature,Point,27.6685,46.2193,21590824,O3,,East,12,12,0,0,6,6,0.954237438216887
Feature,Point,27.6728,46.2299,21590856,D1-D2,,East,12,12,0,0,6,6,0.955070473779424
Feature,Point,27.6698,46.2159,21590556,A2,,East,12,12,0,0,6,6,0.955263998634839
Feature,Point,27.671,46.2282,21590562,A1,,East,12,12,0,0,6,6,0.958558626036517
Feature,Point,27.6693,46.2257,21590691,I1-2,,East,12,12,0,0,6,6,0.959948328201696
Feature,Point,27.6701,46.2151,21590632,P2,,East,12,12,0,0,6,6,0.964698020987171
Feature,Point,27.6691,46.2168,21590553,A3,,East,12,12,0,0,6,6,0.965105217101098
Feature,Point,27.6699,46.2153,21590631,P1,,East,12,12,0,0,6,6,0.96745478866105
Feature,Point,27.6681,46.2197,21590557,O1,,East,12,12,0,0,6,6,0.969923174927161
Feature,Point,27.6698,46.227,21590810,ONT,,East,12,12,0,0,6,6,0.971138311223504
Feature,Point,27.6693,46.2262,21590690,H1-3,,East,12,12,0,0,6,6,0.97178343131802
Feature,Point,27.6683,46.2185,21590828,I2,,East,12,12,0,0,6,6,0.972635616563024
Feature,Point,27.6736,46.231,21590853,A1,,East,12,12,0,0,6,6,0.977037262971873
Feature,Point,27.6695,46.2268,21590805,M1-4,,East,12,12,0,0,6,6,0.978617555814963
