title,type,longitude,latitude,remote_id
ANL,Feature,27.6895,46.2298,21590547
D4,Feature,27.6736,46.2201,21590684
D3,Feature,27.6733,46.2206,21590724
E7,Feature,27.6743,46.2253,21590560
D2,Feature,27.6732,46.2198,21590686
D1,Feature,27.6734,46.2184,21590682
D5,Feature,27.6728,46.2212,21590561
C2,Feature,27.673,46.2183,21590683
C5,Feature,27.6724,46.2204,21590687
E6,Feature,27.6723,46.2217,21590559
B2,Feature,27.6732,46.2174,21590629
C4,Feature,27.6723,46.2198,21590685
B1,Feature,27.6734,46.2167,21590628
E6,Feature,27.6721,46.222,21590548
C1,Feature,27.6724,46.2185,21590642
G1,Feature,27.6725,46.218,21590641
CFR2,Feature,27.6737,46.2159,21590638
C3,Feature,27.672,46.2193,21590723
D4,Feature,27.6726,46.2175,21590715
D3,Feature,27.6728,46.2168,21590714
G7,Feature,27.672,46.2185,21590722
A1,Feature,27.673,46.2163,21590712
E8,Feature,27.6715,46.222,21590549
C3,Feature,27.6721,46.2179,21590718
C4,Feature,27.6723,46.2172,21590716
AIV,Feature,27.6728,46.2161,21590637
C1-2,Feature,27.6723,46.2258,21590656
C2,Feature,27.6718,46.2174,21590720
G8,Feature,27.6714,46.2182,21590721
B1-3,Feature,27.6722,46.2261,21590808
15G,Feature,27.6717,46.217,21590719
C1,Feature,27.6722,46.2161,21590717
G6,Feature,27.6709,46.2186,21590713
D1-8,Feature,27.6716,46.2257,21590574
2,Feature,27.6711,46.2247,21590749
B2,Feature,27.6716,46.2166,21590841
G3,Feature,27.6712,46.2172,21590843
G2,Feature,27.6708,46.2178,21590640
G5,Feature,27.6705,46.2185,21590639
1,Feature,27.671,46.2252,21590748
X3,Feature,27.672,46.2271,21590809
D1-8,Feature,27.671,46.2256,21590731
A5,Feature,27.6711,46.2165,21590845
D9-10,Feature,27.6711,46.226,21590807
B1,Feature,27.6712,46.2161,21590844
Q2,Feature,27.6745,46.2298,21590865
H1-2,Feature,27.6719,46.2274,21590646
1,Feature,27.6741,46.2296,21590887
G4,Feature,27.67,46.2184,21590551
1,Feature,27.6724,46.2281,21590643
C3,Feature,27.6715,46.2271,21590806
3,Feature,27.6701,46.2249,21590750
D1-8,Feature,27.6705,46.226,21590752
A3,Feature,27.6706,46.2161,21590846
G1-5,Feature,27.6718,46.2279,21590645
C1,Feature,27.6711,46.2153,21590630
A2,Feature,27.6721,46.2283,21590644
P3,Feature,27.6708,46.2156,21590633
D2,Feature,27.6706,46.2159,21590842
XI,Feature,27.6714,46.2276,21590564
P4,Feature,27.6708,46.2154,21590634
A4,Feature,27.6701,46.2165,21590555
2,Feature,27.6716,46.2282,21590647
S1-2,Feature,27.6697,46.2254,21590746
G1-2,Feature,27.67,46.226,21590747
X,Feature,27.6713,46.2279,21590563
C1,Feature,27.6738,46.2303,21590855
12,Feature,27.6702,46.2264,21590751
G1,Feature,27.6734,46.23,21590862
MBA,Feature,27.6703,46.2268,21590745
L1,Feature,27.6689,46.2185,21590663
B1,Feature,27.6694,46.2171,21590554
G2,Feature,27.6739,46.2306,21590867
O2,Feature,27.6685,46.2196,21590558
O3,Feature,27.6685,46.2193,21590824
D1-D2,Feature,27.6728,46.2299,21590856
A2,Feature,27.6698,46.2159,21590556
A1,Feature,27.671,46.2282,21590562
I1-2,Feature,27.6693,46.2257,21590691
P2,Feature,27.6701,46.2151,21590632
A3,Feature,27.6691,46.2168,21590553
P1,Feature,27.6699,46.2153,21590631
O1,Feature,27.6681,46.2197,21590557
ONT,Feature,27.6698,46.227,21590810
H1-3,Feature,27.6693,46.2262,21590690
I2,Feature,27.6683,46.2185,21590828
A1,Feature,27.6736,46.231,21590853
M1-4,Feature,27.6695,46.2268,21590805
D3,Feature,27.673,46.2306,21590857
O4,Feature,27.668,46.219,21590826
D4,Feature,27.6727,46.2304,21590858
A1,Feature,27.6693,46.2157,21590848
A4,Feature,27.6688,46.2165,21590623
F1,Feature,27.6722,46.2301,21590861
B1,Feature,27.6732,46.2309,21590854
A2,Feature,27.669,46.216,21590552
VI,Feature,27.6688,46.226,21590692
K3,Feature,27.6681,46.2178,21590832
D1,Feature,27.6695,46.215,21590847
O5,Feature,27.6676,46.2191,21590827
I2,Feature,27.6726,46.2308,21590864
A5,Feature,27.6685,46.2163,21590622
M6,Feature,27.6673,46.22,21590744
VI,Feature,27.669,46.2151,21590636
A1,Feature,27.6686,46.2156,21590550
A6,Feature,27.6683,46.216,21590621
C7,Feature,27.6682,46.2262,21590851
N4,Feature,27.667,46.2192,21590825
N3,Feature,27.6671,46.2185,21590829
I1,Feature,27.6732,46.2318,21590863
K4,Feature,27.6672,46.2181,21590830
D5,Feature,27.6736,46.2321,21590859
D6,Feature,27.6737,46.2322,21590860
V1,Feature,27.669,46.2144,21590635
K2,Feature,27.6672,46.2177,21590665
K1,Feature,27.6673,46.2173,21590664
K5,Feature,27.6669,46.218,21590834
UMPS,Feature,27.6691,46.2285,21590753
M5,Feature,27.6665,46.2193,21590741
U1-11,Feature,27.6676,46.2266,21590850
4,Feature,27.6677,46.2269,21590852
C,Feature,27.6728,46.2322,21590866
N2,Feature,27.6664,46.2182,21590831
J2,Feature,27.6666,46.2171,21590662
73,Feature,27.6663,46.2176,21590833
M4,Feature,27.6659,46.2187,21590740
Z4,Feature,27.6729,46.2327,21590868
M3,Feature,27.6657,46.2184,21590739
B5,Feature,27.6655,46.2192,21590743
E,Feature,27.6716,46.2322,21590627
N1,Feature,27.6657,46.2178,21590655
D14,Feature,27.6734,46.2334,21590872
E12,Feature,27.666,46.2167,21590654
C,Feature,27.672,46.2326,21590798
D1,Feature,27.6724,46.2329,21590803
B114,Feature,27.6709,46.2319,21590624
D12,Feature,27.6731,46.2334,21590870
J1,Feature,27.6655,46.2175,21590651
D10,Feature,27.6728,46.2333,21590804
D,Feature,27.6713,46.2323,21590625
B4,Feature,27.6651,46.2188,21590742
E11,Feature,27.6657,46.2168,21590653
D15,Feature,27.6735,46.2338,21590873
V3,Feature,27.6659,46.2161,21590667
D8,Feature,27.6724,46.2332,21590877
