title,adress,risk,apartments
 V3,Str. Epureanu nr. 50,I,20
 I1,Str. Republicii nr. 277,I,18
 I2,Str. Republicii nr. 277,II,14
 I3,Str. Republicii nr. 277,I,18
 I4,Str. Republicii nr. 277,II,21
 Z1,Str. Republicii nr. 277,II,44
 Z2,Str. Republicii nr. 277,II,44
 Z4,Str. Republicii nr. 277,II,44
 C2,Str. Epureanu nr. 20,II,80
7,Str. Epureanu nr. 26,II,48
 V10,Str. Epureanu nr. 35,I,32
 V8,Str. Epureanu nr. 39,II,32
 V7,Str. Epureanu nr. 41,II,32
 V6,Str. Epureanu nr. 45,II,32
 K,Str. Eminescu nr. 1,II,36
1,Str. Eminescu nr. 2,II,14
3,Str. Epureanu nr. 27,III,44
 A1,Str. Cetinei nr. 7,III,42
 A2,Str. Cetinei nr. 15,III,63
 V2,Str. Epureanu nr. 37,III,32
 A1,Str. Epureanu nr. 47,III,40
 A2,Str. Epureanu nr. 49,III,40
 A3,Str. Epureanu nr. 51,III,40
 A4,Str. Epureanu nr. 53,III,40
 A5,Str. Epureanu nr. 55,III,40
 A1,Str. Republicii nr. 237,III,40
 A2,Str. Republicii nr. 239,III,40
 D1,Str. Epureanu nr. 30,III,40
 D2,Str. Epureanu nr. 32,III,40
 D3,Str. Epureanu nr. 34,III,40
3,Str. Epureanu nr. 7,II,41
 B,Str. M Kogălniceanu nr. 2,III,40
 C1,Str. Republicii nr. 237,I,80
15,Str. Republicii nr. 277,II,18
 Z3,Str. Republicii nr. 287,III,44
 V1,Str. Republicii nr. 279,I,48
 V2,Str. Republicii nr. 281,I,20
10,Str. Republicii nr. 296,I,48
11,Str. Republicii nr. 296,I,24
4,Str. Epureanu nr. 9,I,32
5,Str. Epureanu nr. 10-12,I,47
 D,Str. Epureanu nr. 23,II,40
6,Str. Epureanu nr. 25,III,24
9,Str. Epureanu nr. 29,II,24
 Victoriei,nr. 9,I,24
 Moldovei,Str Moldo. Nr 20,II,44
 D4,Str. Epureanu nr. 40,I,40
 C1,Str. Epureanu nr. 42,I,100
 B8,Str. Epureanu nr. 31,III,31
 Plombă,Str. Republicii nr. 201,III,8
 A4,Str. Cetinei nr. 1,II,63
 A3,Str. Cetinei nr. 3,I,60
