type,geometry/type,longitude,latitude,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y,distance_miles
Feature,Point,27.6895,46.2298,21590547,ANL,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.5998542495585286
Feature,Point,27.6736,46.2201,21590684,D4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7055300457555306
Feature,Point,27.6733,46.2206,21590724,D3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7171016397914218
Feature,Point,27.6743,46.2253,21590560,E7,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7268782502424926
Feature,Point,27.6732,46.2198,21590686,D2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7269424495875715
Feature,Point,27.6734,46.2184,21590682,D1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7364130102696644
Feature,Point,27.6728,46.2212,21590561,D5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7399616420688985
Feature,Point,27.673,46.2183,21590683,C2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7566759291718248
Feature,Point,27.6724,46.2204,21590687,C5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7608991236044023
Feature,Point,27.6723,46.2217,21590559,E6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7647672715929883
Feature,Point,27.6732,46.2174,21590629,B2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7662485248561457
Feature,Point,27.6723,46.2198,21590685,C4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7696283554502112
Feature,Point,27.6734,46.2167,21590628,B1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7751914003876414
Feature,Point,27.6721,46.222,21590548,E6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7755905923568862
Feature,Point,27.6724,46.2185,21590642,C1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7810326258359058
Feature,Point,27.6725,46.218,21590641,G1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7852868973824619
Feature,Point,27.6737,46.2159,21590638,CFR2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7860387284791647
Feature,Point,27.672,46.2193,21590723,C3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7887567376165744
Feature,Point,27.6726,46.2175,21590715,D4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7910574437711012
Feature,Point,27.6728,46.2168,21590714,D3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7989620484907697
Feature,Point,27.672,46.2185,21590722,G7,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.7996314908683223
Feature,Point,27.673,46.2163,21590712,A1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8039252499772244
Feature,Point,27.6715,46.222,21590549,E8,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8041970041520349
Feature,Point,27.6721,46.2179,21590718,C3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8055791639789903
Feature,Point,27.6723,46.2172,21590716,C4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8114160408745237
Feature,Point,27.6728,46.2161,21590637,AIV,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8184315682251142
Feature,Point,27.6723,46.2258,21590656,C1-2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8283874295223101
Feature,Point,27.6718,46.2174,21590720,C2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8295262858547289
Feature,Point,27.6714,46.2182,21590721,G8,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8324260059366582
Feature,Point,27.6722,46.2261,21590808,B1-3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8409935547283258
Feature,Point,27.6717,46.217,21590719,15G,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8430892434972901
Feature,Point,27.6722,46.2161,21590717,C1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8444567117528705
Feature,Point,27.6709,46.2186,21590713,G6,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.849431749160803
Feature,Point,27.6716,46.2257,21590574,D1-8,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8567872665306254
Feature,Point,27.6711,46.2247,21590749,2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.856857536281004
Feature,Point,27.6716,46.2166,21590841,B2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8573556686232644
Feature,Point,27.6712,46.2172,21590843,G3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8611078671474145
Feature,Point,27.6708,46.2178,21590640,G2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8672503279469828
Feature,Point,27.6705,46.2185,21590639,G5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8695798598713295
Feature,Point,27.671,46.2252,21590748,1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8718763282316554
Feature,Point,27.672,46.2271,21590809,X3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8797693372910064
Feature,Point,27.671,46.2256,21590731,D1-8,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8811120156917958
Feature,Point,27.6711,46.2165,21590845,A5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8821305753204391
Feature,Point,27.6711,46.226,21590807,D9-10,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.886680332791394
Feature,Point,27.6712,46.2161,21590844,B1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8881961870718403
Feature,Point,27.6745,46.2298,21590865,Q2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8889376781617561
Feature,Point,27.6719,46.2274,21590646,H1-2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8938117389095065
Feature,Point,27.6741,46.2296,21590887,1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8941228747884234
Feature,Point,27.67,46.2184,21590551,G4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8944067568026022
Feature,Point,27.6724,46.2281,21590643,1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.8978223052833306
Feature,Point,27.6715,46.2271,21590806,C3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9009799648051624
Feature,Point,27.6701,46.2249,21590750,3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9066173277463444
Feature,Point,27.6705,46.226,21590752,D1-8,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9133088983449403
Feature,Point,27.6706,46.2161,21590846,A3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9146354219101338
Feature,Point,27.6718,46.2279,21590645,G1-5,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9150893614828505
Feature,Point,27.6711,46.2153,21590630,C1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9156648293279758
Feature,Point,27.6721,46.2283,21590644,A2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.917335350348441
Feature,Point,27.6708,46.2156,21590633,P3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9196985528344813
Feature,Point,27.6706,46.2159,21590842,D2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9200081932668679
Feature,Point,27.6714,46.2276,21590564,XI,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9214142680001169
Feature,Point,27.6708,46.2154,21590634,P4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.925557877960861
Feature,Point,27.6701,46.2165,21590555,A4,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9268050904157759
Feature,Point,27.6716,46.2282,21590647,2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9339574716751837
Feature,Point,27.6697,46.2254,21590746,S1-2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9351995175346661
Feature,Point,27.67,46.226,21590747,G1-2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9355921506818434
Feature,Point,27.6713,46.2279,21590563,X,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9357434717487239
Feature,Point,27.6738,46.2303,21590855,C1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9369361542722162
Feature,Point,27.6702,46.2264,21590751,12,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9369957250387186
Feature,Point,27.6734,46.23,21590862,G1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9375134627920774
Feature,Point,27.6703,46.2268,21590745,MBA,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9436600456273488
Feature,Point,27.6689,46.2185,21590663,L1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.944483100208017
Feature,Point,27.6694,46.2171,21590554,B1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9451285778018745
Feature,Point,27.6739,46.2306,21590867,G2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9475577757478588
Feature,Point,27.6685,46.2196,21590558,O2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9516646420571232
Feature,Point,27.6685,46.2193,21590824,O3,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9542374382168866
Feature,Point,27.6728,46.2299,21590856,D1-D2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9550704737794236
Feature,Point,27.6698,46.2159,21590556,A2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9552639986348389
Feature,Point,27.671,46.2282,21590562,A1,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9585586260365174
Feature,Point,27.6693,46.2257,21590691,I1-2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9599483282016955
Feature,Point,27.6701,46.2151,21590632,P2,,East,//www.hartablocuri.ro/i/d.png,12,12,0,0,6.0,6.0,0.9646980209871708
