type,geometry/type,geometry/coordinates/0,geometry/coordinates/1,properties/id,properties/title,properties/description,properties/face,properties/icon/url,properties/icon/scaledSize/width,properties/icon/scaledSize/height,properties/icon/origin/x,properties/icon/origin/y,properties/icon/anchor/x,properties/icon/anchor/y
Feature,Point,26.0773,44.4456,21476653,"Bloc A scara 1, 2, 3, 4, 5, 6",,East,//www.hartablocuri.ro/i/s04-r1.png,20,20,0,0,10,10
Feature,Point,26.0788,44.4446,21476654,Bloc C,,East,//www.hartablocuri.ro/i/s04-r2.png,20,20,0,0,10,10
Feature,Point,26.0766,44.4466,21476655,Bloc D,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.07815,44.4426,21476656,Bloc E,,East,//www.hartablocuri.ro/i/s06.png,20,20,0,0,10,10
Feature,Point,26.07775,44.4429,21476657,Bloc F,,East,//www.hartablocuri.ro/i/s06.png,21,21,0,0,10.5,10.5
Feature,Point,26.0773,44.4432,21476658,Bloc G,,East,//www.hartablocuri.ro/i/s06.png,21,21,0,0,10.5,10.5
Feature,Point,26.0768,44.4435,21476659,Bloc H,,East,//www.hartablocuri.ro/i/s06.png,21,21,0,0,10.5,10.5
Feature,Point,26.0748,44.4447,21476660,"Căminul Feroviarilor, azi Hotel Astoria",,East,//www.hartablocuri.ro/i/s02.png,19,19,0,0,9.5,9.5
Feature,Point,26.07355,44.44525,21476661,Bloc 1,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0733,44.44565,21476662,Bloc 2,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0731,44.446,21476663,Bloc 3,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.07225,44.4466,21476664,Bloc 4,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0712,44.4473,21476665,Bloc 5,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0704,44.44785,21476666,Bloc 6,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0694,44.4485,21476667,Bloc 7,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0759,44.44415,21476668,Bloc 8,,East,//www.hartablocuri.ro/i/s04-r2.png,20,20,0,0,10,10
Feature,Point,26.0764,44.4484,21476669,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.0768,44.44805,21476670,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.0778,44.44895,21476671,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.0765,44.449,21476672,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04-u2.png,16,16,0,0,8,8
Feature,Point,26.07735,44.44915,21476673,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.0791,44.446,21476674,Bloc fără număr,,East,//www.hartablocuri.ro/i/s08-r2.png,18,18,0,0,9,9
Feature,Point,26.078,44.4463,21476675,Hotel Nord,,East,//www.hartablocuri.ro/i/s08-c.png,19,19,0,0,9.5,9.5
Feature,Point,26.0773,44.4467,21476676,Bloc J,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.077,44.4474,21476677,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.07525,44.448,21476678,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.0744,44.4483,21476679,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.0738,44.4487,21476680,Bloc B1,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.07295,44.449,21476681,Bloc fără număr,,East,//www.hartablocuri.ro/i/s04.png,18,18,0,0,9,9
Feature,Point,26.0724,44.44925,21476682,Bloc fără număr,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0717,44.4497,21476683,Bloc B3,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0707,44.45005,21476684,Bloc 4,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.06855,44.45125,21476685,Bloc K,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.06765,44.45185,21476686,Bloc J,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0674,44.4522,21476687,Bloc I,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0668,44.4524,21476688,Bloc S,,East,//www.hartablocuri.ro/i/s06-r2.png,20,20,0,0,10,10
Feature,Point,26.0662,44.4528,21476689,Bloc R,,East,//www.hartablocuri.ro/i/s06.png,20,20,0,0,10,10
Feature,Point,26.0656,44.4532,21476690,Bloc P,,East,//www.hartablocuri.ro/i/s06.png,20,20,0,0,10,10
Feature,Point,26.065,44.4536,21476691,Bloc O,,East,//www.hartablocuri.ro/i/s06.png,20,20,0,0,10,10
Feature,Point,26.06435,44.454,21476692,Bloc N,,East,//www.hartablocuri.ro/i/s06.png,20,20,0,0,10,10
Feature,Point,26.06385,44.45435,21476693,Bloc M,,East,//www.hartablocuri.ro/i/s06-r2.png,20,20,0,0,10,10
Feature,Point,26.0643,44.45455,21476694,Bloc F,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.0631,44.455,21476695,Bloc roșu,,East,//www.hartablocuri.ro/i/s02.png,16,16,0,0,8,8
Feature,Point,26.0629,44.4565,21476696,Bloc C,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.06245,44.45655,21476697,Bloc B,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0618,44.4567,21476698,Bloc A,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0589,44.4604,21476699,Bloc K,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.05815,44.46145,21476700,Bloc L3,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.05785,44.4618,21476701,Bloc L2,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.05825,44.46195,21476702,Bloc J,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.05755,44.4622,21476703,Bloc L1,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.05685,44.46295,21476704,Bloc 1,,East,//www.hartablocuri.ro/i/s06.png,21,21,0,0,10.5,10.5
Feature,Point,26.05165,44.46965,21476705,Bloc 1,,East,//www.hartablocuri.ro/i/s06-n.png,18,18,0,0,9,9
Feature,Point,26.0526,44.46885,21476706,Bloc 2,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0529,44.46805,21476707,Bloc 3,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.05385,44.46725,21476708,Bloc 4,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.05415,44.4664,21476709,Bloc 5,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0551,44.4656,21476710,Bloc 6,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0554,44.4648,21476711,Bloc 7,,East,//www.hartablocuri.ro/i/s06.png,18,18,0,0,9,9
Feature,Point,26.0558,44.465,21476712,Bloc 7bis,,East,//www.hartablocuri.ro/i/s08.png,16,16,0,0,8,8
Feature,Point,26.0483,44.47395,21476713,Bloc A,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.04885,44.4732,21476714,Bloc B,,East,//www.hartablocuri.ro/i/s06-r3.png,19,19,0,0,9.5,9.5
Feature,Point,26.04945,44.4725,21476715,Bloc C,,East,//www.hartablocuri.ro/i/s06-r1.png,19,19,0,0,9.5,9.5
Feature,Point,26.0506,44.4719,21476716,Bloc D1,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.05115,44.4716,21476717,Bloc E1,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.05155,44.4715,21476718,Bloc E2,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.05155,44.47085,21476719,Bloc F,,East,//www.hartablocuri.ro/i/s06.png,19,19,0,0,9.5,9.5
Feature,Point,26.05085,44.47095,21476720,Bloc G,,East,//www.hartablocuri.ro/i/s06.png,20,20,0,0,10,10
Feature,Point,26.05095,44.4705,21476721,Bloc H,,East,//www.hartablocuri.ro/i/s06-r2.png,19,19,0,0,9.5,9.5
Feature,Point,26.05025,44.47025,21476722,Bloc M,,East,//www.hartablocuri.ro/i/s06-r2.png,19,19,0,0,9.5,9.5
